t,omega,omega_ref,i_rms,p_el,p_mech
0.001,-0.05000000074505806,0.0,0.0,0.0,-0.0
0.002,-0.09999624639749527,0.0,0.0033671751485073696,0.17533880214517855,-0.0
0.003,-0.14998875558376312,0.0,0.010353023806451433,-0.2199456184075158,-4.585370527846624e-10
0.004,-0.19997750222682953,0.0,0.08748573965968563,2.707639910395794,-2.3581228217342918e-08
0.005,-0.2499624788761139,0.0,0.17985010985600222,-6.94027997095041,-5.962181195412898e-08
0.006,-0.29994383454322815,0.0,0.050387093240644894,-1.8963097625163292,5.967682197025461e-07
0.007,-0.34992164373397827,0.0,0.07807455355951907,3.257814886154776,2.1229729224565114e-06
0.008,-0.3998959958553314,0.0,0.2032163397102984,-5.600026831190695,4.794143823272748e-06
0.009000000000000001,-0.4498663544654846,0.0,0.10791955065681075,-2.9125880427601283,3.0171823434956118e-06
0.010000000000000002,-0.49983248114585876,0.0,0.01632555213151272,-0.25960944987352974,-1.0868005020218956e-06
0.011000000000000003,-0.5497943162918091,0.0,0.07447873111018333,2.1701916879102376,-7.794413271232401e-06
0.012000000000000004,-0.5997516512870789,0.0,0.1586717466421583,-6.453642501941823,-1.724321869404397e-05
0.013000000000000005,-0.6497069001197815,0.0,0.025053029443292064,-0.7273149935479576,2.9617123428182974e-06
0.014000000000000005,-0.6996605396270752,0.0,0.1158826760789702,2.6313158641414045,3.3312120659294624e-05
0.015000000000000006,-0.7496111392974854,0.0,0.2067285387406502,-4.8801455193011956,4.621086782267191e-05
0.016000000000000007,-0.7995578050613403,0.0,0.12619648389861104,-2.6572506602455364,4.63534661094745e-05
0.017000000000000008,-0.84950190782547,0.0,0.06572091996534171,-1.9574611160835393,6.867824356251541e-05
0.01800000000000001,-0.8994354009628296,0.0,0.03930028462958833,1.4311612634229363,-5.036242042493027e-05
0.01900000000000001,-0.949358344078064,0.0,0.1409929196672529,-4.4532681106639,-0.0001818006215100342
0.02000000000000001,-0.9992847442626953,0.0,0.07437875538082318,0.4970493959354275,-4.7525602862789464e-05
0.02100000000000001,-1.049216866493225,0.0,0.15155685860884122,0.47531696457587014,0.00014822605254239863
0.022000000000000013,-1.099155306816101,0.0,0.17822344475944285,-2.9661664461507193,0.00037716642389998625
0.023000000000000013,-1.1490901708602905,0.0,0.12753429285601472,-3.9905189749697976,0.0003956265809152649
0.024000000000000014,-1.1990047693252563,0.0,0.02709506256379661,-0.41980428582352,2.125114468515817e-05
0.025000000000000015,-1.2488993406295776,0.0,0.0907623051872053,3.0748624720877333,-0.00038906300325662667
0.026000000000000016,-1.2987737655639648,0.0,0.19195366155919866,-4.927502698710789,-0.0008292336549022454
0.027000000000000017,-1.3486592769622803,0.0,0.10434479123916074,-3.310734863680665,-0.0004609043319702415
0.028000000000000018,-1.3985590934753418,0.0,0.07412552860786491,2.006120858711649,2.740560506651512e-05
0.02900000000000002,-1.4484742879867554,0.0,0.18267528621570364,-3.580537848692228,0.0005831796364714956
0.03000000000000002,-1.4983808994293213,0.0,0.11425149304607427,-2.1433113999357265,0.00045716207999818315
0.03100000000000002,-1.5482795238494873,0.0,0.05328634956128217,-1.4705357252632285,0.0003396566342058952
0.03200000000000002,-1.598146915435791,0.0,0.06834680012195692,2.2540879389214368,-0.0005273620196075044
0.03300000000000002,-1.647983193397522,0.0,0.1721990594437985,-4.285588080477083,-0.0014433100717450738
0.03400000000000002,-1.6978375911712646,0.0,0.0873128326758704,-2.208014282150962,-0.0007496069935576836
0.035000000000000024,-1.7477092742919922,0.0,0.004466945338399263,-0.04967146240517574,-3.4648690373801615e-05
0.036000000000000025,-1.7975972890853882,0.0,0.07497348202636912,1.9205200471578807,0.0006854652566966923
0.037000000000000026,-1.8475005626678467,0.0,0.15060371304042702,-5.353383948468931,0.0014075261146575496
0.03800000000000003,-1.8973723649978638,0.0,0.10876155501021732,2.4323300186378694,0.0003952721537872016
0.03900000000000003,-1.9472090005874634,0.0,0.22429369539994828,-2.8874493954390466,-0.0008183462372109478
0.04000000000000003,-1.9970344305038452,0.0,0.17922261259312314,-1.7718901013365977,-0.0011421014604896629
0.04100000000000003,-2.046846628189087,0.0,0.14746254349655355,-2.442613913941305,-0.0015531403870462036
0.04200000000000003,-2.0966856479644775,0.0,0.09943119311002112,-0.5924822325134775,-0.00031832184550073306
0.04300000000000003,-2.1465516090393066,0.0,0.09976288444401497,-1.5081778805852524,0.0010011559812832683
0.04400000000000003,-2.196399450302124,0.0,0.042976373262102206,-0.5167949009282333,0.0003817115162434088
0.04500000000000003,-2.2462286949157715,0.0,0.014649630902990925,0.43596454723739864,-0.00026874809025241223
0.046000000000000034,-2.2960398197174072,0.0,0.06609482014727412,-2.5958571689531094,-0.0009300859593654212
0.047000000000000035,-2.345886707305908,0.0,0.07205749257153828,3.3579109374384903,0.00089012047242544
0.048000000000000036,-2.3957669734954834,0.0,0.20742536107365236,-3.0869424355805424,0.0026921666903330843
0.04900000000000004,-2.4456257820129395,0.0,0.15050188274387638,-2.1999860393628463,0.0018845583596943003
0.05000000000000004,-2.4954628944396973,0.0,0.09454876950205549,-1.2243796512729281,0.001023987202757463
0.05100000000000004,-2.545278310775757,0.0,0.04338171202824305,-0.3035129722908334,0.00013319967759121718
0.05200000000000004,-2.5950722694396973,0.0,0.027744761425849848,0.564624960326187,-0.0007878020041093356
0.05300000000000004,-2.6448447704315186,0.0,0.07035236678615198,-1.0232928354750255,-0.0017376126049633517
0.05400000000000004,-2.6946470737457275,0.0,0.01906068680725676,-0.3971687736031258,4.0517213580357574e-05
0.05500000000000004,-2.744479179382324,0.0,0.12514939420168128,5.911702379990276,0.0018666452752011111
0.05600000000000004,-2.794285297393799,0.0,0.2898747702953244,-3.0269705964940807,0.0006754930957740803
0.057000000000000044,-2.8440632820129395,0.0,0.2473588178866371,-2.1607760032242025,-0.0007135498104128418
0.058000000000000045,-2.893810510635376,0.0,0.21223811019058514,-1.11767599744359,-0.0022828455462731018
0.059000000000000045,-2.9435248374938965,0.0,0.19020411930525652,-0.10506623349328442,-0.004032122027531588
0.060000000000000046,-2.9932045936584473,0.0,0.1843657342428915,0.8772830448597169,-0.0059581972668090715
0.06100000000000005,-3.0428478717803955,0.0,0.1947518673008508,-1.591148837940428,-0.008055931188532445
0.06200000000000005,-3.0925354957580566,0.0,0.16374394495682307,-0.4377564272628849,-0.0052002201723100674
0.06300000000000004,-3.1422674655914307,0.0,0.15283402842304167,0.6757356944221049,-0.002268829990569632
0.06400000000000004,-3.192042350769043,0.0,0.16362926423620344,-0.7512968713246868,0.0006766660187036028
0.06500000000000004,-3.241765022277832,0.0,0.1448872913229319,0.2900499055735878,-0.002461562431297715
0.06600000000000004,-3.291433572769165,0.0,0.14855140257655672,1.364080182837978,-0.005813627386917606
