t,omega,omega_ref,i_rms,p_el,p_mech
0.0005,-0.021624313667416573,0.0,0.0,0.0,-0.0
0.001,-0.04324733093380928,0.0,0.0008915683294575511,0.04830211420933283,-0.0
0.0015,-0.06486905366182327,0.0,0.002459929167602896,-0.02684985594709527,-2.716905136836508e-10
0.002,-0.0864894688129425,0.0,0.05251245075907104,1.7469221968180704,-2.5252328291826205e-08
0.0025,-0.10810859501361847,0.0,0.09045499638727665,-3.2065178444181166,-3.183970027787587e-08
0.003,-0.12972669303417206,0.0,0.001950546360959058,-0.016939755905413238,6.836214746400011e-07
0.0035,-0.15134386718273163,0.0,0.061495747594169245,2.400878602425884,1.8732525435147297e-06
0.004,-0.17296011745929718,0.0,0.10620720948057044,-3.056648552938934,3.4413831383137345e-06
0.0045000000000000005,-0.19457419216632843,0.0,0.02376169076471292,-0.65020805601507,4.81010626353929e-07
0.005000000000000001,-0.21618607640266418,0.0,0.034568691084087146,1.1311894525019168,-3.4081599562918137e-06
0.005500000000000001,-0.2377958446741104,0.0,0.07517788732099336,-2.7169099895591797,-7.614051766493945e-06
0.006000000000000002,-0.2594066560268402,0.0,0.010749446641146097,0.49306565010485437,3.7118320312030846e-06
0.006500000000000002,-0.2810182571411133,0.0,0.07190291378173364,-1.991331290507198,1.5800480687393567e-05
0.007000000000000003,-0.30262550711631775,0.0,0.0018724587878620098,0.06230907460590106,-1.2966405243057946e-06
0.007500000000000003,-0.3242288827896118,0.0,0.04937412261480763,0.6811654452476714,-1.8476502066174334e-05
0.008000000000000004,-0.34582361578941345,0.0,0.07320276601131301,-2.031579431251925,-7.023427421620452e-05
0.008500000000000004,-0.3674056828022003,0.0,0.04155245037373297,-0.30143636661929557,-0.00015844899167867017
0.009000000000000005,-0.38899335265159607,0.0,0.06141939866276754,0.3044399455006316,-0.00011393508707946723
0.009500000000000005,-0.41058841347694397,0.0,0.07227632585257689,-0.3365845625002099,-4.8989473201892805e-05
0.010000000000000005,-0.4321753978729248,0.0,0.06161947895249272,-0.886809584682263,-0.0001101217570758613
0.010500000000000006,-0.45375117659568787,0.0,0.04674410971465944,-0.5004659322578622,-0.00020579544173063177
0.011000000000000006,-0.4753299355506897,0.0,0.05781364781088392,0.34234678132785235,-0.00017496664291872334
0.011500000000000007,-0.4969162046909332,0.0,0.08092631767218948,-1.802319446157074,-9.542034731022292e-05
0.012000000000000007,-0.5185019969940186,0.0,0.03881090791368003,-0.7188063547815241,-9.075920007156159e-05
0.012500000000000008,-0.5400911569595337,0.0,0.03137508647315217,-0.09869421919145566,-4.4492561430347254e-05
